Hafta,SayÄ±,Ay

2019-01-06,56,1
2019-01-13,61,1
2019-01-20,51,1
2019-01-27,55,1
2019-02-03,59,2
2019-02-10,63,2
2019-02-17,61,2
2019-02-24,64,2
2019-03-03,64,3
2019-03-10,65,3
2019-03-17,67,3
2019-03-24,67,3
2019-03-31,50,3
2019-04-07,59,4
2019-04-14,69,4
2019-04-21,62,4
2019-04-28,67,4
2019-05-05,53,5
2019-05-12,61,5
2019-05-19,59,5
2019-05-26,73,5
2019-06-02,80,6
2019-06-09,67,6
2019-06-16,70,6
2019-06-23,75,6
2019-06-30,80,6
2019-07-07,68,7
2019-07-14,77,7
2019-07-21,75,7
2019-07-28,84,7
2019-08-04,72,8
2019-08-11,100,8
2019-08-18,75,8
2019-08-25,85,8
2019-09-01,82,9
2019-09-08,78,9
2019-09-15,78,9
2019-09-22,78,9
2019-09-29,85,9
2019-10-06,75,10
2019-10-13,67,10
2019-10-20,76,10
2019-10-27,87,10
2019-11-03,67,11
2019-11-10,82,11
2019-11-17,76,11
2019-11-24,77,11
2019-12-01,83,12
2019-12-08,75,12
2019-12-15,76,12
2019-12-22,76,12
2019-12-29,74,12
